openbsd-netcat 1.234_2-1.1
opencl-mesa 2:26.0.5-4
opencode 1.14.20-1.1
openssh 10.3p1-1.1
os-prober 1.84-1.1
oxfmt-bin 0.45.0-1
oxlint-bin 1.60.0-1
pacman-contrib 1.13.1-1.2
papirus-icon-theme 20250501-1
paru 2.1.0-2
pavucontrol 1:6.2-1.1
perl 5.42.2-1.1
pi-coding-agent 0.70.2-1
pipewire-alsa 1:1.6.4-1.1
pipewire-pulse 1:1.6.4-1.1
pkgfile 25-2.1
playerctl 2.4.1-5.1
plocate 1.1.24-1.1
plymouth 24.004.60-14.1
polkit-kde-agent 6.6.4-1.1
poppler-glib 26.04.0-1.1
power-profiles-daemon 0.30-3
prettier 3.8.1-1
protonup-qt-bin 2.15.0-1
pv 1.10.5-1.1
pwgen 2.08-3.1
pycharm-community-edition 2026.1-1.2
python 3.14.4-2
python-defusedxml 0.7.1-8
python-gpustat 1:1.1.1-1
python-packaging 26.1-1
python-psycopg2 2.9.11-2.1
qbittorrent 5.1.4-2
rbw 1.15.0-2.1
rebuild-detector 4.4.5-1
reflector 2023-5
ripgrep 15.1.0-2
rsync 3.4.1-2.1
s-nail 14.9.25-1.1
seafile-client 9.0.18-1
sg3_utils 1.48-1.2
shadps4-qtlauncher-pre-release-bin 20260425.5c0e5bf-1
smartmontools 7.5-1.1
sof-firmware 2025.12.2-1
solaar 1.1.19-1
splix 2.0.1-2.1
sqlit 1.4.0-1
starship 1.25.0-1
steam 1.0.0.85-6
subversion 1.14.5-5
sudo 1.9.17.p2-2.1
superseedr 1.0.5-1
swaync 0.12.6-1.1
swayosd 0.3.1-1.1
sysc-greet-hyprland 1.1.6-1
sysfsutils 2.1.1-2.2
system-config-printer 1.5.18-6
systemd-boot-manager 19-2
t3code-git 0.0.22.nightly.20260423.108.r0.gada410b-1
tailscale 1.96.4-1.1
telegram-desktop 6.7.6-1.1
television 0.15.6-1.1
tesseract 5.5.2-1.1
texinfo 7.3-1.1
timg 1.6.3-2
tmux 3.6_a-1.1
